X,Y,Z
57,56,64
57,57,64
57,58,64
57,59,64
57,59,75
57,59,77
57,60,64
57,60,75
57,61,64
57,61,65
57,62,64
57,62,65
57,62,78
57,63,64
57,66,79
57,67,78
57,68,78
57,69,79
57,69,80
58,56,64
58,56,66
58,59,75
58,63,79
58,64,64
58,65,65
58,66,75
58,69,76
58,70,77
58,70,81
59,55,66
59,55,67
59,56,64
59,57,68
59,60,72
59,61,69
59,62,71
59,62,90
59,62,93
59,63,90
59,63,93
59,65,64
59,66,64
59,66,65
59,66,66
59,66,81
59,69,74
59,70,74
59,70,75
59,70,76
59,70,77
59,70,82
59,71,78
59,71,79
60,53,64
60,54,64
60,55,64
60,55,67
60,59,69
60,60,90
60,61,80
60,63,97
60,66,64
60,67,64
60,70,72
60,70,75
60,71,83
61,54,64
61,54,66
61,55,67
61,59,89
61,60,71
61,62,108
61,62,109
61,63,82
61,63,87
61,63,108
61,64,82
61,64,98
61,64,110
61,65,108
61,65,110
61,66,108
61,66,110
61,67,83
61,68,64
61,68,68
61,68,83
61,69,66
61,69,69
61,71,75
61,71,84
62,55,64
62,55,67
62,56,68
62,56,108
62,57,111
62,58,88
62,58,111
62,59,95
62,61,81
62,61,82
62,63,84
62,63,86
62,65,99
62,65,106
62,66,85
62,66,113
62,67,85
62,68,85
62,68,93
62,68,110
62,68,111
62,69,64
62,69,85
62,70,65
62,70,85
62,71,74
62,73,76
62,73,77
63,55,64
63,55,107
63,56,67
63,56,88
63,56,112
63,57,114
63,58,69
63,60,70
63,61,84
63,61,115
63,62,85
63,62,115
63,64,104
63,65,87
63,66,87
63,66,100
63,68,107
63,69,64
63,69,93
63,70,65
63,70,112
63,72,88
64,53,107
64,54,64
64,54,106
64,54,111
64,55,64
64,55,65
64,55,88
64,55,112
64,57,86
64,57,94
64,57,117
64,58,69
64,59,85
64,60,70
64,63,101
64,65,103
64,67,101
64,68,90
64,69,64
64,69,90
64,69,116
64,70,115
64,71,71
64,71,112
64,71,114
64,73,90
64,74,78
64,74,79
64,74,80
65,54,87
65,54,88
65,54,89
65,54,105
65,55,92
65,55,113
65,56,64
65,56,85
65,57,64
65,57,120
65,58,64
65,58,120
65,59,72
65,59,96
65,60,70
65,61,99
65,61,102
65,65,122
65,66,121
65,68,102
65,68,119
65,69,64
65,69,105
65,71,93
65,71,109
65,71,115
65,72,93
65,73,93
65,75,74
65,75,75
65,75,76
65,75,77
66,51,110
66,51,111
66,54,85
66,54,92
66,55,93
66,55,116
66,56,81
66,56,120
66,57,77
66,58,64
66,58,74
66,59,64
66,59,65
66,59,97
66,59,122
66,60,64
66,60,66
66,60,73
66,61,64
66,61,73
66,62,64
66,63,64
66,63,72
66,63,123
66,64,64
66,64,66
66,65,64
66,65,66
66,65,67
66,65,71
66,66,64
66,66,67
66,66,122
66,67,64
66,67,70
66,68,64
66,69,64
66,69,69
66,69,103
66,70,66
66,70,67
66,70,103
66,71,106
66,72,99
66,72,114
66,73,97
66,74,72
66,74,94
66,75,73
66,75,90
66,75,91
66,76,73
66,76,75
66,76,76
66,76,77
66,76,87
66,77,73
67,49,106
67,51,104
67,53,85
67,53,89
67,54,84
67,54,92
67,54,113
67,55,82
67,55,102
67,55,119
67,56,114
67,56,122
67,57,95
67,58,101
67,59,72
67,60,71
67,60,99
67,62,68
67,63,70
67,63,71
67,64,71
67,65,71
67,65,124
67,67,71
67,69,70
67,72,101
67,73,71
67,75,71
67,75,92
67,77,74
67,77,86
67,80,72
68,48,105
68,49,104
68,50,103
68,50,112
68,52,88
68,53,85
68,54,84
68,54,92
68,55,93
68,56,114
68,56,115
68,57,100
68,58,73
68,64,65
68,65,64
68,66,66
68,66,69
68,67,69
68,68,69
68,73,99
68,75,69
68,76,90
68,78,83
68,78,84
68,80,70
68,81,70
68,82,70
68,85,71
69,47,106
69,47,108
69,47,109
69,47,110
69,49,112
69,52,88
69,52,89
69,52,90
69,52,101
69,53,85
69,53,92
69,53,116
69,60,70
69,60,124
69,66,64
69,67,64
69,68,64
69,69,64
69,69,67
69,70,67
69,72,67
69,73,100
69,78,76
69,78,77
69,82,68
69,88,69
69,88,71
69,89,69
69,89,70
69,90,70
69,90,71
69,91,71
70,47,111
70,48,112
70,49,103
70,53,87
70,53,90
70,54,93
70,54,123
70,55,98
70,56,96
70,56,97
70,58,124
70,61,68
70,64,64
70,69,64
70,70,64
70,71,64
70,72,64
70,73,65
70,73,115
70,74,65
70,75,65
70,76,65
70,79,82
70,86,73
70,89,71
70,90,67
70,93,71
70,94,73
70,95,74
70,95,77
70,99,86
70,99,87
70,100,86
70,100,89
71,47,112
71,48,104
71,49,103
71,51,101
71,51,114
71,53,84
71,53,85
71,53,86
71,53,87
71,53,89
71,53,90
71,53,91
71,53,121
71,54,81
71,55,95
71,56,124
71,57,73
71,64,64
71,72,105
71,73,64
71,73,115
71,74,64
71,75,64
71,76,64
71,77,64
71,78,64
71,79,64
71,80,64
71,81,64
71,82,64
71,84,75
71,91,74
71,92,67
71,95,78
71,96,86
71,96,87
71,97,74
71,97,81
71,97,85
71,97,91
71,98,80
71,98,81
71,98,84
71,98,93
71,100,85
71,100,94
71,101,87
71,101,88
72,46,106
72,50,114
72,53,93
72,53,124
72,54,98
72,55,96
72,55,97
72,57,72
72,73,113
72,80,79
72,80,80
72,80,81
72,83,77
72,84,76
72,85,64
72,85,75
72,86,64
72,87,64
72,87,73
72,88,64
72,89,64
72,90,64
72,91,64
72,93,66
72,95,87
72,96,70
72,96,81
72,96,85
72,96,92
72,97,71
72,99,77
72,99,78
72,100,97
72,101,95
72,102,88
73,47,113
73,49,114
73,50,115
73,52,123
73,54,95
73,54,98
73,55,97
73,56,74
73,59,126
73,62,65
73,63,64
73,67,125
73,69,122
73,70,121
73,72,118
73,73,103
73,73,117
73,74,100
73,75,97
73,76,94
73,77,91
73,78,88
73,79,85
73,80,82
73,81,79
73,88,74
73,91,64
73,91,76
73,92,65
73,93,78
73,94,87
73,95,85
73,95,90
73,96,82
73,96,84
73,97,71
73,99,76
73,99,77
73,100,82
73,100,83
73,100,98
73,101,85
73,101,97
73,102,87
73,102,93
73,102,94
74,46,112
74,47,113
74,49,114
74,50,116
74,51,119
74,52,123
74,54,95
74,55,97
74,56,74
74,59,69
74,59,126
74,62,65
74,63,64
74,73,103
74,74,100
74,80,82
74,81,79
74,88,74
74,91,64
74,91,76
74,92,65
74,93,66
74,93,78
74,94,87
74,94,88
74,95,81
74,95,85
74,95,90
74,96,82
74,98,72
74,99,76
74,100,98
74,101,97
74,102,87
74,102,94
75,46,106
75,46,107
75,50,114
75,53,93
75,53,124
75,54,98
75,55,96
75,55,97
75,57,72
75,64,64
75,73,113
75,80,79
75,80,81
75,81,78
75,83,77
75,84,76
75,87,64
75,87,73
75,88,64
75,88,73
75,89,64
75,90,64
75,91,64
75,93,66
75,93,77
75,96,70
75,96,81
75,96,85
75,96,92
75,97,71
75,99,77
75,99,78
75,101,95
75,101,96
75,102,88
76,47,112
76,48,104
76,49,103
76,51,101
76,51,114
76,53,84
76,53,85
76,53,86
76,53,87
76,53,89
76,53,90
76,53,91
76,53,122
76,54,81
76,54,94
76,55,124
76,64,64
76,64,126
76,67,124
76,72,105
76,74,64
76,75,64
76,76,64
76,77,64
76,78,64
76,79,64
76,80,64
76,81,64
76,82,64
76,82,76
76,83,64
76,85,75
76,91,65
76,91,74
76,92,67
76,92,75
76,93,68
76,95,78
76,96,86
76,96,87
76,96,88
76,97,74
76,97,81
76,97,91
76,97,92
76,98,80
76,98,81
76,98,84
76,98,93
76,98,94
76,99,84
76,100,94
76,101,87
77,48,112
77,49,103
77,53,90
77,54,123
77,56,96
77,56,97
77,58,124
77,61,68
77,64,64
77,69,64
77,70,64
77,71,64
77,72,64
77,73,64
77,73,65
77,73,101
77,73,115
77,74,65
77,75,65
77,76,65
77,82,75
77,84,66
77,86,73
77,90,67
77,93,71
77,94,72
77,95,74
77,95,77
77,96,77
77,98,87
77,99,86
77,100,86
77,100,90
78,47,106
78,47,109
78,47,110
78,49,112
78,51,113
78,52,88
78,52,89
78,52,90
78,52,101
78,53,85
78,53,87
78,53,92
78,53,116
78,53,117
78,54,100
78,56,95
78,57,98
78,65,64
78,66,64
78,67,64
78,68,64
78,69,64
78,70,66
78,70,67
78,72,67
78,72,108
78,73,67
78,73,100
78,74,67
78,77,67
78,77,88
78,78,67
78,78,76
78,78,77
78,82,68
78,88,71
78,90,69
78,90,71
78,91,71
78,91,72
78,92,72
79,48,105
79,48,110
79,48,111
79,49,104
79,50,103
79,50,112
79,52,88
79,52,89
79,52,113
79,53,85
79,54,84
79,54,92
79,55,93
79,56,114
79,56,115
79,58,73
79,64,65
79,65,64
79,66,64
79,66,65
79,67,69
79,70,69
79,71,69
79,72,69
79,73,99
79,78,75
79,78,83
79,78,84
79,82,70
79,85,71
79,86,70
80,51,104
80,51,112
80,53,85
80,54,84
80,54,92
80,54,113
80,55,82
80,55,102
80,55,119
80,56,122
80,57,76
80,57,95
80,59,72
80,59,98
80,60,99
80,62,68
80,63,67
80,63,68
80,63,69
80,63,70
80,63,71
80,64,71
80,65,71
80,65,124
80,66,71
80,67,71
80,72,71
80,72,101
80,73,71
80,75,71
80,75,92
80,77,86
80,79,73
81,51,111
81,54,85
81,54,113
81,55,84
81,55,93
81,55,116
81,56,80
81,56,118
81,56,120
81,57,77
81,58,74
81,58,102
81,59,64
81,59,65
81,59,97
81,60,64
81,60,65
81,60,72
81,60,73
81,60,101
81,61,64
81,61,65
81,61,73
81,61,100
81,62,64
81,62,65
81,63,64
81,63,72
81,63,123
81,64,64
81,64,66
81,65,64
81,65,66
81,65,71
81,66,64
81,66,66
81,67,64
81,67,66
81,67,70
81,68,64
81,69,64
81,69,69
81,70,66
81,70,67
81,70,103
81,70,104
81,71,106
81,72,99
81,72,114
81,73,71
81,73,97
81,74,72
81,74,94
81,75,73
81,75,91
81,76,73
81,76,74
81,76,75
81,76,76
81,76,87
81,77,73
82,54,87
82,54,88
82,54,89
82,54,90
82,56,64
82,56,85
82,56,117
82,56,118
82,57,64
82,58,64
82,58,65
82,58,121
82,59,64
82,59,68
82,59,72
82,59,96
82,59,121
82,60,69
82,60,70
82,61,69
82,61,70
82,61,99
82,61,102
82,62,122
82,63,122
82,64,122
82,65,123
82,67,103
82,68,119
82,69,64
82,69,102
82,71,109
82,71,115
82,72,94
82,75,75
82,75,76
83,53,107
83,54,64
83,54,106
83,55,64
83,55,89
83,56,64
83,56,93
83,56,115
83,57,64
83,57,66
83,57,94
83,58,83
83,59,84
83,59,96
83,59,118
83,61,98
83,63,101
83,64,102
83,65,103
83,68,101
83,69,64
83,69,91
83,69,106
83,70,91
83,70,115
83,71,94
83,71,95
83,71,112
83,71,114
83,73,90
83,73,91
83,74,78
84,55,64
84,55,107
84,56,67
84,56,88
84,56,112
84,58,69
84,60,70
84,60,79
84,61,115
84,62,104
84,64,104
84,66,88
84,67,88
84,69,64
84,69,93
84,70,65
84,70,112
84,71,72
84,73,87
85,55,64
85,55,65
85,55,66
85,55,67
85,56,68
85,56,108
85,56,109
85,57,88
85,57,107
85,57,111
85,59,95
85,60,106
85,61,80
85,61,81
85,62,86
85,63,113
85,64,85
85,65,85
85,66,85
85,66,113
85,67,85
85,67,107
85,68,64
85,68,93
85,68,94
85,69,64
85,70,65
85,72,86
86,54,64
86,54,65
86,54,66
86,55,64
86,55,67
86,60,71
86,60,95
86,60,108
86,61,80
86,61,108
86,62,82
86,62,108
86,63,82
86,63,87
86,63,110
86,64,98
86,65,110
86,66,108
86,67,64
86,67,83
86,67,93
86,67,109
86,68,64
86,68,68
86,69,65
86,70,69
86,70,74
86,71,84
87,53,64
87,54,64
87,55,64
87,55,67
87,59,69
87,59,76
87,60,90
87,61,80
87,61,89
87,63,97
87,64,69
87,66,64
87,67,64
87,68,66
87,70,75
88,55,64
88,55,65
88,55,66
88,55,67
88,56,64
88,60,69
88,60,72
88,61,69
88,61,70
88,62,71
88,62,90
88,62,93
88,62,94
88,63,90
88,63,94
88,64,64
88,64,92
88,65,64
88,66,64
88,66,66
88,66,81
88,70,74
88,70,75
88,70,76
88,70,82
88,71,78
88,71,81
89,56,64
89,59,75
89,63,64
89,64,64
89,64,74
89,65,65
89,66,75
89,70,77
89,70,78
89,70,81
90,56,64
90,57,64
90,58,64
90,59,64
90,59,75
90,59,77
90,60,64
90,61,64
90,62,64
